Ds benchmark...
DsName       V_Num       insert   insert/per       read     read/per     update     update/per        for      for/per       delete   delete/per
ArrayDs          8       7.44us     930.38ns      802ns     100.25ns     1.33us       166.50ns      501ns      62.63ns    noSupport   notSupport
ArrayDs          8       2.42us     301.88ns      651ns      81.38ns     5.31us       663.75ns      511ns      63.88ns    noSupport   notSupport
ArrayDs          8       1.92us     240.38ns      592ns      74.00ns     7.49us       936.75ns      671ns      83.88ns    noSupport   notSupport
ArrayDs          8       2.71us     338.13ns      591ns      73.88ns     4.70us       587.38ns      531ns      66.38ns    noSupport   notSupport
ArrayDs          8       2.11us     264.25ns      521ns      65.13ns     4.45us       556.00ns      781ns      97.63ns    noSupport   notSupport
ArrayDs          8       2.38us     296.88ns      551ns      68.88ns     4.34us       542.25ns      531ns      66.38ns    noSupport   notSupport
ArrayDs          8       2.52us     315.63ns      561ns      70.13ns     4.34us       542.25ns      411ns      51.38ns    noSupport   notSupport
ArrayDs          8       2.30us     288.00ns      631ns      78.88ns     4.32us       539.75ns      641ns      80.13ns    noSupport   notSupport
ArrayDs          8       2.14us     268.00ns      641ns      80.13ns    61.46us      7683.00ns      802ns     100.25ns    noSupport   notSupport
ArrayDs          8       2.25us     280.63ns      591ns      73.88ns     4.30us       537.25ns      461ns      57.63ns    noSupport   notSupport
ArrayDs          8       2.30us     288.00ns      632ns      79.00ns     4.19us       523.38ns      541ns      67.63ns    noSupport   notSupport
ArrayDs          8       2.34us     291.88ns      621ns      77.63ns     3.60us       449.63ns      430ns      53.75ns    noSupport   notSupport
ArrayDs          8       2.35us     294.25ns      601ns      75.13ns    29.90us      3737.00ns      881ns     110.13ns    noSupport   notSupport
ArrayDs          8       2.29us     286.75ns      641ns      80.13ns     4.42us       552.38ns      450ns      56.25ns    noSupport   notSupport
ArrayDs          8       2.16us     270.50ns      611ns      76.38ns     4.12us       514.63ns      471ns      58.88ns    noSupport   notSupport
ArrayDs          8       2.18us     273.00ns      601ns      75.13ns     4.15us       518.50ns      470ns      58.75ns    noSupport   notSupport
ArrayDs          8       2.44us     304.38ns      681ns      85.13ns     4.46us       557.25ns      541ns      67.63ns    noSupport   notSupport
ArrayDs          8       2.37us     296.75ns      702ns      87.75ns     4.25us       531.00ns      430ns      53.75ns    noSupport   notSupport
ArrayDs          8       2.15us     269.25ns      661ns      82.63ns     4.40us       549.75ns      481ns      60.13ns    noSupport   notSupport
ArrayDs          8       2.16us     270.50ns      561ns      70.13ns     4.39us       548.63ns      450ns      56.25ns    noSupport   notSupport
ArrayDs          8       2.55us     319.25ns      511ns      63.88ns     5.09us       636.25ns      461ns      57.63ns    noSupport   notSupport
ArrayDs          8       2.80us     349.38ns      731ns      91.38ns     5.32us       665.00ns      471ns      58.88ns    noSupport   notSupport
ArrayDs         16      16.51us    1031.94ns     1.62us     101.44ns     5.75us       359.44ns     1.56us      97.69ns    noSupport   notSupport
ArrayDs         16      12.76us     797.75ns     1.66us     103.94ns     4.80us       299.94ns     1.44us      90.13ns    noSupport   notSupport
ArrayDs         16      11.65us     728.25ns     1.42us      88.88ns     9.53us       595.50ns     1.65us     103.31ns    noSupport   notSupport
ArrayDs         16       8.97us     560.44ns     1.14us      71.38ns     3.85us       240.44ns     1.08us      67.63ns    noSupport   notSupport
ArrayDs         16      11.74us     733.88ns     1.41us      88.31ns     4.84us       302.44ns     1.29us      80.75ns    noSupport   notSupport
ArrayDs         16      11.47us     716.94ns     1.35us      84.56ns     4.57us       285.50ns     1.29us      80.81ns    noSupport   notSupport
ArrayDs         16      33.12us    2069.81ns     1.63us     102.06ns     5.16us       322.50ns     1.12us      70.13ns    noSupport   notSupport
ArrayDs         16      10.24us     639.94ns     1.38us      86.38ns     4.65us       290.56ns     1.26us      78.88ns    noSupport   notSupport
ArrayDs         16      11.54us     721.38ns     1.65us     103.31ns     4.68us       292.38ns     1.15us      72.06ns    noSupport   notSupport
ArrayDs         16      11.37us     710.75ns     1.27us      79.50ns     4.39us       274.25ns     1.75us     109.56ns    noSupport   notSupport
ArrayDs         16      22.83us    1427.06ns     1.51us      94.56ns     4.86us       303.69ns     3.55us     221.63ns    noSupport   notSupport
ArrayDs         16       8.75us     546.63ns     1.15us      72.00ns     6.63us       414.56ns     1.85us     115.81ns    noSupport   notSupport
ArrayDs         16       8.63us     539.13ns     1.29us      80.75ns     4.92us       307.44ns     1.40us      87.69ns    noSupport   notSupport
ArrayDs         16      11.01us     688.19ns     1.49us      93.31ns     5.07us       316.81ns     1.14us      71.38ns    noSupport   notSupport
ArrayDs         16      11.90us     743.88ns     1.62us     101.44ns     4.76us       297.44ns     1.38us      86.44ns    noSupport   notSupport
ArrayDs         16      12.55us     784.63ns     1.54us      96.44ns     5.93us       370.69ns     1.49us      93.25ns    noSupport   notSupport
ArrayDs         16      31.16us    1947.19ns     1.60us     100.19ns     5.27us       329.38ns     1.38us      86.38ns    noSupport   notSupport
ArrayDs         16      11.03us     689.38ns     1.41us      88.31ns     4.83us       301.81ns     1.52us      95.19ns    noSupport   notSupport
ArrayDs         16      10.85us     678.19ns     1.40us      87.63ns     4.54us       283.69ns     1.61us     100.81ns    noSupport   notSupport
ArrayDs         16      12.55us     784.63ns     1.79us     112.06ns     4.51us       281.75ns    28.80us    1800.25ns    noSupport   notSupport
ArrayDs         16       9.34us     583.63ns     1.31us      82.00ns     4.41us       275.56ns     1.21us      75.75ns    noSupport   notSupport
ArrayDs         16      94.99us    5936.69ns     4.31us     269.25ns     6.87us       429.56ns     1.09us      68.25ns    noSupport   notSupport
ArrayDs         32      17.80us     556.34ns     2.19us      68.28ns     6.80us       212.56ns     1.87us      58.56ns    noSupport   notSupport
ArrayDs         32      16.88us     527.56ns     2.75us      85.78ns     8.55us       267.06ns     2.41us      75.44ns    noSupport   notSupport
ArrayDs         32      15.62us     488.09ns     2.71us      84.53ns     9.75us       304.63ns     3.01us      93.94ns    noSupport   notSupport
ArrayDs         32      18.24us     570.13ns     2.77us      86.41ns     8.73us       272.69ns     2.61us      81.41ns    noSupport   notSupport
ArrayDs         32      16.51us     515.97ns     2.44us      76.09ns    36.10us      1128.03ns     2.77us      86.72ns    noSupport   notSupport
ArrayDs         32      17.83us     557.28ns     2.48us      77.63ns     6.81us       212.91ns     1.83us      57.28ns    noSupport   notSupport
ArrayDs         32      16.96us     530.06ns     2.52us      78.88ns     8.53us       266.44ns     2.25us      70.44ns    noSupport   notSupport
ArrayDs         32      15.74us     491.84ns     2.37us      73.91ns     7.81us       244.19ns     2.14us      67.00ns    noSupport   notSupport
ArrayDs         32      15.96us     498.75ns     3.08us      96.41ns     8.35us       260.81ns     2.63us      82.03ns    noSupport   notSupport
ArrayDs         32      21.06us     658.09ns     2.85us      88.94ns     8.18us       255.47ns     2.39us      74.81ns    noSupport   notSupport
ArrayDs         32      14.99us     468.38ns     1.88us      58.88ns     6.18us       193.16ns     1.85us      57.94ns    noSupport   notSupport
ArrayDs         32      23.44us     732.59ns     2.84us      88.63ns    10.85us       339.06ns     2.58us      80.47ns    noSupport   notSupport
ArrayDs         32      16.30us     509.38ns     2.83us      88.31ns     8.34us       260.47ns     2.73us      85.47ns    noSupport   notSupport
ArrayDs         32      15.70us     490.59ns     2.54us      79.53ns     7.62us       238.25ns     2.45us      76.69ns    noSupport   notSupport
ArrayDs         32      46.15us    1442.06ns     3.04us      94.88ns     8.30us       259.25ns     2.29us      71.69ns    noSupport   notSupport
ArrayDs         32      62.72us    1960.06ns     2.37us      74.19ns     7.87us       245.78ns     2.22us      69.50ns    noSupport   notSupport
ArrayDs         32      16.43us     513.44ns     1.89us      59.19ns     6.21us       194.13ns     1.85us      57.91ns    noSupport   notSupport
ArrayDs         32      11.59us     362.22ns     2.59us      80.78ns     8.20us       256.09ns     5.12us     160.00ns    noSupport   notSupport
ArrayDs         32      16.09us     502.81ns     2.48us      77.63ns     8.43us       263.31ns     2.63us      82.03ns    noSupport   notSupport
ArrayDs         32      52.92us    1653.72ns     2.61us      81.41ns    33.18us      1036.78ns     2.73us      85.47ns    noSupport   notSupport
ArrayDs         32      20.66us     645.59ns     2.62us      81.72ns    10.70us       334.38ns     2.58us      80.75ns    noSupport   notSupport
ArrayDs         32      15.80us     493.75ns    42.72us    1334.97ns    32.70us      1021.91ns     2.28us      71.38ns    noSupport   notSupport
ArrayDs         64      55.64us     869.36ns     4.64us      72.48ns    26.67us       416.70ns     4.24us      66.22ns    noSupport   notSupport
ArrayDs         64      25.35us     396.05ns     4.92us      76.88ns    32.17us       502.64ns     4.94us      77.19ns    noSupport   notSupport
ArrayDs         64      24.02us     375.38ns     3.58us      55.89ns    14.22us       222.14ns     3.47us      54.16ns    noSupport   notSupport
ArrayDs         64      27.13us     423.92ns     5.04us      78.73ns    26.80us       418.75ns     4.93us      77.02ns    noSupport   notSupport
ArrayDs         64      24.42us     381.50ns     4.72us      73.73ns    17.53us       273.94ns     3.56us      55.58ns    noSupport   notSupport
ArrayDs         64      22.90us     357.84ns    23.45us     366.47ns    21.03us       328.58ns     4.82us      75.30ns    noSupport   notSupport
ArrayDs         64      24.78us     387.13ns     4.60us      71.84ns    18.36us       286.95ns     4.35us      67.94ns    noSupport   notSupport
ArrayDs         64      20.89us     326.39ns     7.10us     110.98ns   101.65us      1588.23ns     5.18us      80.92ns    noSupport   notSupport
ArrayDs         64      27.45us     428.92ns     4.73us      73.89ns    21.13us       330.14ns     4.74us      74.05ns    noSupport   notSupport
ArrayDs         64      19.93us     311.36ns     3.37us      52.61ns    14.34us       224.00ns     3.62us      56.52ns    noSupport   notSupport
ArrayDs         64      26.07us     407.31ns    28.87us     451.16ns    23.34us       364.75ns     4.80us      74.98ns    noSupport   notSupport
ArrayDs         64      22.64us     353.78ns     3.31us      51.67ns    13.94us       217.75ns     3.50us      54.63ns    noSupport   notSupport
ArrayDs         64      22.86us     357.23ns     3.52us      54.95ns    39.99us       624.83ns     4.85us      75.77ns    noSupport   notSupport
ArrayDs         64      24.73us     386.34ns    29.43us     459.92ns    23.53us       367.72ns     4.77us      74.52ns    noSupport   notSupport
ArrayDs         64      24.57us     383.84ns     4.56us      71.23ns    20.49us       320.13ns     4.75us      74.20ns    noSupport   notSupport
ArrayDs         64      99.96us    1561.89ns     4.10us      64.03ns    50.02us       781.53ns     4.84us      75.61ns    noSupport   notSupport
ArrayDs         64      18.57us     290.08ns     3.32us      51.81ns    13.95us       217.91ns     3.53us      55.11ns    noSupport   notSupport
ArrayDs         64      25.73us     402.00ns     3.58us      55.89ns    14.06us       219.63ns     3.32us      51.81ns    noSupport   notSupport
ArrayDs         64      21.96us     343.14ns     3.40us      53.06ns    13.51us       211.02ns     3.30us      51.50ns    noSupport   notSupport
ArrayDs         64      19.81us     309.48ns     3.76us      58.70ns    12.76us       199.42ns     3.53us      55.11ns    noSupport   notSupport
ArrayDs         64      19.02us     297.27ns     3.31us      51.66ns    12.52us       195.69ns     3.47us      54.16ns    noSupport   notSupport
ArrayDs         64      24.01us     375.22ns     5.48us      85.64ns    13.92us       217.44ns     3.38us      52.75ns    noSupport   notSupport
ArrayDs        128      54.45us     425.41ns    11.67us      91.18ns    84.56us       660.59ns     8.27us      64.57ns    noSupport   notSupport
ArrayDs        128      42.79us     334.29ns     8.18us      63.88ns   111.80us       873.42ns    12.39us      96.82ns    noSupport   notSupport
ArrayDs        128      38.52us     300.95ns     8.12us      63.40ns    33.72us       263.46ns     9.61us      75.06ns    noSupport   notSupport
ArrayDs        128      37.38us     292.02ns     8.45us      65.98ns    32.70us       255.48ns     8.23us      64.34ns    noSupport   notSupport
ArrayDs        128      38.41us     300.09ns     8.10us      63.24ns    32.68us       255.32ns     8.21us      64.11ns    noSupport   notSupport
ArrayDs        128      37.51us     293.05ns     8.22us      64.19ns    32.08us       250.62ns     8.14us      63.56ns    noSupport   notSupport
ArrayDs        128      46.36us     362.16ns     7.84us      61.29ns    32.25us       251.95ns     8.38us      65.43ns    noSupport   notSupport
ArrayDs        128      42.47us     331.79ns     8.00us      62.46ns    32.11us       250.86ns     8.22us      64.26ns    noSupport   notSupport
ArrayDs        128      83.27us     650.51ns    11.29us      88.21ns    70.32us       549.38ns     8.36us      65.28ns    noSupport   notSupport
ArrayDs        128      36.85us     287.88ns     8.21us      64.10ns    32.67us       255.24ns     8.32us      65.04ns    noSupport   notSupport
ArrayDs        128      37.74us     294.84ns     8.13us      63.55ns    32.26us       252.03ns     8.42us      65.75ns    noSupport   notSupport
ArrayDs        128      75.92us     593.14ns    11.17us      87.27ns    40.65us       317.55ns    24.95us     194.93ns    noSupport   notSupport
ArrayDs        128      54.62us     426.73ns    12.08us      94.39ns    46.06us       359.81ns    11.46us      89.54ns    noSupport   notSupport
ArrayDs        128      53.87us     420.87ns    23.13us     180.73ns    48.53us       379.14ns    11.28us      88.13ns    noSupport   notSupport
ArrayDs        128      98.00us     765.61ns    11.32us      88.45ns    46.22us       361.06ns    10.95us      85.55ns    noSupport   notSupport
ArrayDs        128      53.06us     414.52ns    11.03us      86.18ns    45.62us       356.37ns    40.98us     320.16ns    noSupport   notSupport
ArrayDs        128      63.81us     498.51ns     8.37us      65.35ns    32.81us       256.34ns     8.34us      65.13ns    noSupport   notSupport
ArrayDs        128      58.35us     455.85ns    11.81us      92.28ns    54.25us       423.84ns     8.29us      64.80ns    noSupport   notSupport
ArrayDs        128      43.34us     338.59ns    14.86us     116.08ns    59.16us       462.19ns    12.32us      96.27ns    noSupport   notSupport
ArrayDs        128      57.09us     445.99ns     8.26us      64.49ns    32.02us       250.16ns     7.96us      62.23ns    noSupport   notSupport
ArrayDs        128      35.77us     279.43ns     8.21us      64.18ns    32.01us       250.08ns     8.34us      65.12ns    noSupport   notSupport
ArrayDs        128      37.40us     292.19ns     8.22us      64.26ns    31.89us       249.13ns     8.25us      64.42ns    noSupport   notSupport
ArrayDs        256     130.71us     510.58ns    15.77us      61.60ns    66.35us       259.19ns    16.03us      62.62ns    noSupport   notSupport
ArrayDs        256      71.02us     277.43ns    15.98us      62.42ns   132.85us       518.93ns    24.00us      93.77ns    noSupport   notSupport
ArrayDs        256      71.66us     279.93ns    16.13us      63.01ns   129.53us       505.96ns    19.73us      77.05ns    noSupport   notSupport
ArrayDs        256      70.80us     276.57ns    15.77us      61.60ns    63.75us       249.02ns    22.74us      88.84ns    noSupport   notSupport
ArrayDs        256      98.39us     384.35ns    24.57us      95.96ns    99.33us       388.03ns    70.67us     276.06ns    noSupport   notSupport
ArrayDs        256     129.58us     506.18ns    15.71us      61.36ns    63.60us       248.43ns    16.09us      62.85ns    noSupport   notSupport
ArrayDs        256      91.36us     356.88ns    15.71us      61.36ns    62.93us       245.81ns    16.46us      64.30ns    noSupport   notSupport
ArrayDs        256     108.44us     423.60ns    15.69us      61.29ns    66.80us       260.92ns    20.90us      81.64ns    noSupport   notSupport
ArrayDs        256      96.78us     378.05ns    15.94us      62.27ns    63.41us       247.69ns    17.44us      68.13ns    noSupport   notSupport
ArrayDs        256      88.50us     345.72ns    16.25us      63.48ns   110.81us       432.85ns    23.09us      90.21ns    noSupport   notSupport
ArrayDs        256     100.80us     393.74ns    50.37us     196.77ns   107.69us       420.66ns    15.81us      61.75ns    noSupport   notSupport
ArrayDs        256      75.29us     294.11ns    16.22us      63.36ns    62.68us       244.83ns    35.23us     137.64ns    noSupport   notSupport
ArrayDs        256      73.21us     285.96ns    15.97us      62.38ns    62.10us       242.60ns    16.39us      64.03ns    noSupport   notSupport
ArrayDs        256      85.29us     333.16ns    16.41us      64.10ns    66.38us       259.31ns    16.85us      65.82ns    noSupport   notSupport
ArrayDs        256     148.94us     581.79ns    15.90us      62.11ns    80.88us       315.94ns    16.32us      63.75ns    noSupport   notSupport
ArrayDs        256     114.78us     448.37ns    16.07us      62.77ns    89.82us       350.85ns    16.80us      65.63ns    noSupport   notSupport
ArrayDs        256      88.75us     346.66ns    24.61us      96.11ns    83.43us       325.88ns    35.15us     137.29ns    noSupport   notSupport
ArrayDs        256      95.74us     373.98ns    16.27us      63.55ns    62.49us       244.09ns    24.43us      95.41ns    noSupport   notSupport
ArrayDs        256     112.07us     437.77ns    23.55us      92.01ns    68.85us       268.94ns    16.64us      65.00ns    noSupport   notSupport
ArrayDs        256     117.40us     458.59ns    16.41us      64.11ns    76.21us       297.70ns    19.33us      75.49ns    noSupport   notSupport
ArrayDs        256     116.44us     454.83ns    16.56us      64.69ns   106.87us       417.46ns    15.79us      61.68ns    noSupport   notSupport
ArrayDs        256      92.18us     360.09ns    33.72us     131.73ns    65.10us       254.30ns    16.89us      65.98ns    noSupport   notSupport
ArrayDs        516     327.54us     634.77ns    67.36us     130.53ns   304.89us       590.87ns    46.55us      90.21ns    noSupport   notSupport
ArrayDs        516     238.83us     462.84ns    31.44us      60.93ns   192.89us       373.82ns    33.55us      65.02ns    noSupport   notSupport
ArrayDs        516     200.77us     389.09ns    57.90us     112.20ns   289.53us       561.10ns    65.50us     126.94ns    noSupport   notSupport
ArrayDs        516     259.10us     502.14ns    47.38us      91.82ns   268.19us       519.75ns    60.33us     116.92ns    noSupport   notSupport
ArrayDs        516     213.42us     413.61ns    51.74us     100.26ns   168.36us       326.29ns    32.25us      62.50ns    noSupport   notSupport
ArrayDs        516     140.08us     271.47ns    32.66us      63.29ns   208.34us       403.76ns    31.60us      61.24ns    noSupport   notSupport
ArrayDs        516     137.01us     265.53ns    32.84us      63.65ns   153.01us       296.54ns    37.64us      72.95ns    noSupport   notSupport
ArrayDs        516     226.25us     438.47ns    46.76us      90.62ns   154.69us       299.78ns    33.09us      64.13ns    noSupport   notSupport
ArrayDs        516     134.47us     260.60ns    32.84us      63.65ns   151.56us       293.73ns    33.46us      64.85ns    noSupport   notSupport
ArrayDs        516     132.12us     256.04ns    56.47us     109.44ns   154.86us       300.11ns    32.56us      63.10ns    noSupport   notSupport
ArrayDs        516     233.33us     452.20ns    31.93us      61.88ns   193.37us       374.75ns    31.53us      61.10ns    noSupport   notSupport
ArrayDs        516     136.11us     263.78ns    32.74us      63.45ns   149.84us       290.39ns    32.68us      63.33ns    noSupport   notSupport
ArrayDs        516     172.46us     334.23ns    31.62us      61.28ns   148.90us       288.56ns    32.67us      63.32ns    noSupport   notSupport
ArrayDs        516     133.13us     258.00ns    32.24us      62.48ns   214.05us       414.82ns    31.23us      60.52ns    noSupport   notSupport
ArrayDs        516     133.20us     258.14ns    32.45us      62.89ns   148.69us       288.15ns    32.83us      63.63ns    noSupport   notSupport
ArrayDs        516     147.41us     285.69ns    32.67us      63.32ns   148.74us       288.25ns    32.90us      63.76ns    noSupport   notSupport
ArrayDs        516     170.17us     329.78ns    46.09us      89.31ns   171.12us       331.63ns    33.18us      64.31ns    noSupport   notSupport
ArrayDs        516     133.60us     258.91ns    33.25us      64.44ns   148.05us       286.91ns    33.59us      65.10ns    noSupport   notSupport
ArrayDs        516     158.43us     307.03ns    31.06us      60.19ns   149.24us       289.22ns    33.29us      64.52ns    noSupport   notSupport
ArrayDs        516     157.75us     305.72ns    32.04us      62.09ns   212.16us       411.17ns    31.75us      61.53ns    noSupport   notSupport
ArrayDs        516     134.73us     261.11ns    32.58us      63.14ns   150.21us       291.10ns    32.63us      63.24ns    noSupport   notSupport
ArrayDs        516     180.80us     350.38ns    31.63us      61.29ns   150.45us       291.57ns    32.69us      63.35ns    noSupport   notSupport
ArrayDs       1024     474.75us     463.63ns    79.24us      77.38ns   312.50us       305.18ns    80.35us      78.47ns    noSupport   notSupport
ArrayDs       1024     337.40us     329.49ns    80.69us      78.80ns   340.25us       332.28ns    83.83us      81.86ns    noSupport   notSupport
ArrayDs       1024     333.01us     325.21ns   101.03us      98.66ns   308.58us       301.35ns    80.63us      78.74ns    noSupport   notSupport
ArrayDs       1024     365.29us     356.73ns    79.03us      77.17ns   298.66us       291.66ns    79.74us      77.87ns    noSupport   notSupport
ArrayDs       1024     410.38us     400.77ns    79.02us      77.17ns   348.33us       340.17ns    80.13us      78.25ns    noSupport   notSupport
ArrayDs       1024     408.63us     399.05ns    79.90us      78.03ns   303.66us       296.54ns    79.82us      77.95ns    noSupport   notSupport
ArrayDs       1024     357.69us     349.30ns    84.91us      82.92ns   450.23us       439.68ns   116.64us     113.90ns    noSupport   notSupport
ArrayDs       1024     472.53us     461.46ns    79.98us      78.10ns   308.37us       301.15ns    94.71us      92.49ns    noSupport   notSupport
ArrayDs       1024     364.92us     356.37ns    79.06us      77.20ns   333.16us       325.35ns    79.73us      77.86ns    noSupport   notSupport
ArrayDs       1024     352.47us     344.21ns    79.40us      77.54ns   300.06us       293.03ns    80.95us      79.05ns    noSupport   notSupport
ArrayDs       1024     355.02us     346.70ns    79.41us      77.55ns   297.69us       290.71ns   106.47us     103.97ns    noSupport   notSupport
ArrayDs       1024     331.70us     323.92ns    79.70us      77.83ns   316.30us       308.89ns    81.72us      79.81ns    noSupport   notSupport
ArrayDs       1024     368.88us     360.23ns   102.01us      99.62ns   308.28us       301.06ns    80.08us      78.20ns    noSupport   notSupport
ArrayDs       1024     397.99us     388.66ns    80.23us      78.35ns   321.56us       314.02ns    80.57us      78.68ns    noSupport   notSupport
ArrayDs       1024     333.57us     325.75ns    80.82us      78.93ns   366.90us       358.30ns    79.95us      78.08ns    noSupport   notSupport
ArrayDs       1024     428.26us     418.23ns   111.16us     108.55ns   451.72us       441.13ns   114.21us     111.54ns    noSupport   notSupport
ArrayDs       1024     506.96us     495.08ns   137.22us     134.00ns   303.32us       296.22ns    80.66us      78.77ns    noSupport   notSupport
ArrayDs       1024     422.70us     412.79ns    79.91us      78.04ns   424.42us       414.48ns    97.36us      95.08ns    noSupport   notSupport
ArrayDs       1024     452.50us     441.89ns    96.08us      93.83ns   464.81us       453.92ns    97.02us      94.75ns    noSupport   notSupport
ArrayDs       1024     424.28us     414.34ns    90.28us      88.16ns   462.35us       451.51ns   155.20us     151.56ns    noSupport   notSupport
ArrayDs       1024     728.32us     711.25ns   152.10us     148.54ns   588.14us       574.35ns   154.88us     151.25ns    noSupport   notSupport
ArrayDs       1024     368.54us     359.90ns    81.01us      79.11ns   307.13us       299.93ns    92.54us      90.37ns    noSupport   notSupport
ArrayDs       2048     640.81us     312.90ns   160.90us      78.56ns   662.01us       323.25ns   160.87us      78.55ns    noSupport   notSupport
ArrayDs       2048     675.96us     330.06ns   190.66us      93.10ns   651.39us       318.06ns   158.70us      77.49ns    noSupport   notSupport
ArrayDs       2048     726.06us     354.52ns   159.34us      77.80ns   642.08us       313.51ns   160.68us      78.46ns    noSupport   notSupport
ArrayDs       2048     680.40us     332.23ns   160.82us      78.53ns   652.57us       318.64ns   170.86us      83.43ns    noSupport   notSupport
ArrayDs       2048     664.17us     324.30ns   157.91us      77.11ns   612.00us       298.83ns   158.50us      77.40ns    noSupport   notSupport
ArrayDs       2048     631.10us     308.15ns   181.21us      88.48ns   644.89us       314.89ns   160.45us      78.34ns    noSupport   notSupport
ArrayDs       2048     675.74us     329.95ns   164.20us      80.17ns   640.98us       312.98ns   175.21us      85.55ns    noSupport   notSupport
ArrayDs       2048     658.61us     321.59ns   160.73us      78.48ns   631.07us       308.14ns   158.90us      77.59ns    noSupport   notSupport
ArrayDs       2048     657.88us     321.23ns   158.43us      77.36ns   615.85us       300.71ns   159.56us      77.91ns    noSupport   notSupport
ArrayDs       2048     650.96us     317.85ns   163.65us      79.90ns   637.96us       311.51ns   159.85us      78.05ns    noSupport   notSupport
ArrayDs       2048     655.94us     320.28ns   160.01us      78.13ns   628.83us       307.04ns   157.94us      77.12ns    noSupport   notSupport
ArrayDs       2048     650.79us     317.77ns   158.24us      77.26ns   634.57us       309.85ns   158.46us      77.37ns    noSupport   notSupport
ArrayDs       2048     644.33us     314.61ns   158.28us      77.28ns   639.19us       312.10ns   157.70us      77.00ns    noSupport   notSupport
ArrayDs       2048     738.46us     360.57ns   201.38us      98.33ns   905.29us       442.03ns   235.88us     115.18ns    noSupport   notSupport
ArrayDs       2048     835.01us     407.72ns   194.16us      94.81ns   777.38us       379.58ns   238.78us     116.59ns    noSupport   notSupport
ArrayDs       2048     797.69us     389.50ns   220.99us     107.91ns   672.93us       328.58ns   159.63us      77.94ns    noSupport   notSupport
ArrayDs       2048     675.06us     329.62ns   161.23us      78.73ns   623.22us       304.31ns   157.09us      76.71ns    noSupport   notSupport
ArrayDs       2048     665.09us     324.75ns   160.97us      78.60ns   628.32us       306.80ns   158.19us      77.24ns    noSupport   notSupport
ArrayDs       2048     695.10us     339.41ns   158.80us      77.54ns   653.85us       319.26ns   174.29us      85.10ns    noSupport   notSupport
ArrayDs       2048     656.72us     320.67ns   163.21us      79.69ns   625.62us       305.48ns   161.21us      78.72ns    noSupport   notSupport
ArrayDs       2048     664.72us     324.57ns   158.46us      77.37ns   623.44us       304.41ns   178.28us      87.05ns    noSupport   notSupport
ArrayDs       2048     643.05us     313.99ns   158.86us      77.57ns   621.94us       303.68ns   158.61us      77.44ns    noSupport   notSupport
ArrayDs       4096       1.30ms     318.37ns   338.66us      82.68ns     1.27ms       308.92ns   334.55us      81.68ns    noSupport   notSupport
ArrayDs       4096       1.43ms     349.86ns   343.92us      83.96ns     1.12ms       274.43ns   339.52us      82.89ns    noSupport   notSupport
ArrayDs       4096       1.22ms     298.39ns   321.39us      78.46ns     1.14ms       277.60ns   318.25us      77.70ns    noSupport   notSupport
ArrayDs       4096       1.72ms     420.62ns   452.93us     110.58ns     1.59ms       389.18ns   399.93us      97.64ns    noSupport   notSupport
ArrayDs       4096       1.46ms     355.73ns   368.38us      89.94ns     1.38ms       336.54ns   407.29us      99.44ns    noSupport   notSupport
ArrayDs       4096       1.23ms     300.01ns   339.48us      82.88ns     1.13ms       276.93ns   340.11us      83.04ns    noSupport   notSupport
ArrayDs       4096       1.21ms     295.78ns   315.34us      76.99ns     1.17ms       285.11ns   325.76us      79.53ns    noSupport   notSupport
ArrayDs       4096       1.39ms     338.65ns   352.93us      86.16ns     1.14ms       279.27ns   318.39us      77.73ns    noSupport   notSupport
ArrayDs       4096       1.23ms     299.66ns   337.88us      82.49ns     1.11ms       271.30ns   359.71us      87.82ns    noSupport   notSupport
ArrayDs       4096       1.69ms     413.79ns   394.81us      96.39ns     1.15ms       281.14ns   320.77us      78.31ns    noSupport   notSupport
ArrayDs       4096       1.28ms     312.28ns   373.78us      91.26ns     1.56ms       380.26ns   458.73us     111.99ns    noSupport   notSupport
ArrayDs       4096       1.22ms     298.23ns   320.19us      78.17ns     1.14ms       278.54ns   316.12us      77.18ns    noSupport   notSupport
ArrayDs       4096       1.35ms     329.42ns   330.98us      80.80ns     1.44ms       351.76ns   539.14us     131.63ns    noSupport   notSupport
ArrayDs       4096       1.77ms     431.24ns   403.72us      98.56ns     1.36ms       332.37ns   438.24us     106.99ns    noSupport   notSupport
ArrayDs       4096       1.26ms     306.42ns   320.25us      78.19ns     1.12ms       273.65ns   320.48us      78.24ns    noSupport   notSupport
ArrayDs       4096       1.25ms     305.89ns   344.06us      84.00ns     1.14ms       277.45ns   320.74us      78.30ns    noSupport   notSupport
ArrayDs       4096       1.22ms     298.86ns   316.34us      77.23ns     1.11ms       270.47ns   338.36us      82.61ns    noSupport   notSupport
ArrayDs       4096       1.21ms     296.44ns   340.86us      83.22ns     1.14ms       278.72ns   322.36us      78.70ns    noSupport   notSupport
ArrayDs       4096       1.36ms     332.74ns   351.81us      85.89ns     1.12ms       272.53ns   348.09us      84.98ns    noSupport   notSupport
ArrayDs       4096       1.20ms     293.08ns   318.56us      77.77ns     1.15ms       279.66ns   319.36us      77.97ns    noSupport   notSupport
ArrayDs       4096       1.24ms     303.55ns   356.59us      87.06ns     1.10ms       269.00ns   368.61us      89.99ns    noSupport   notSupport
ArrayDs       4096       1.21ms     296.50ns   318.81us      77.84ns     1.16ms       282.40ns   333.99us      81.54ns    noSupport   notSupport
